"method","n","iterations","time_min_us","time_p25_us","time_median_us","time_p75_us","time_max_us","time_mean_us","time_std_us","itr_per_sec","mem_alloc_bytes"
"ARIMA",100,20,0.00896397978067398,0.00974978320300579,0.0109430402517319,0.0119907781481743,0.092899426817894,0.017223646864295,0.0210875163427957,91382282.893617,1048280
"MSTL",100,20,0.00989530235528946,0.0109430402517319,0.0118743628263474,0.0122236087918282,0.15494879335165,0.0241852831095457,0.038871413232699,84215045.0196078,232080
"ARIMA",200,20,0.00791624188423157,0.00998261384665966,0.0109430402517319,0.0119907781481743,0.162865035235882,0.0205938704311848,0.0350617158336028,91382282.893617,236232
"MSTL",200,20,0.0080326572060585,0.00896397978067398,0.00896397978067398,0.0100117176771164,0.147032551467419,0.018684659153223,0.0312528839962527,111557592.103896,163216
"ARIMA",500,20,0.00884756445884705,0.0100117176771164,0.0119325704872608,0.014202669262886,0.0619329512119293,0.0160536728799343,0.0131313995211784,83804239.9219512,597808
"MSTL",500,20,0.00698491930961609,0.0080326572060585,0.00896397978067398,0.0100117176771164,0.132014974951744,0.0167405232787132,0.0281982604075801,111557592.103896,398544
"K-Means",100,100,0.00710133463144302,0.00908039510250092,0.0100117176771164,0.0110594555735588,0.115018337965012,0.01152278855443,0.0115689399731665,99882960.372093,187816
"PCA",100,100,0.0080326572060585,0.00989530235528946,0.0109430402517319,0.0119907781481743,0.0939471647143364,0.013506505638361,0.0108777950271551,91382282.893617,134632
"K-Means",1000,100,0.0080326572060585,0.00896397978067398,0.0100117176771164,0.0109430402517319,0.082072801887989,0.0109011307358742,0.00812386094059061,99882960.372093,657536
"PCA",1000,100,0.00686850398778915,0.0080326572060585,0.00896397978067398,0.0100117176771164,0.0990694388747215,0.00990345142781734,0.00909231607895597,111557592.103896,284088
"K-Means",5000,100,0.00791624188423157,0.00908039510250092,0.0100117176771164,0.0110594555735588,0.27799978852272,0.012918608263135,0.0269155640647359,99882960.372093,3290880
"PCA",5000,100,0.00791624188423157,0.00908039510250092,0.0100117176771164,0.0109430402517319,0.0830041244626045,0.0110571272671223,0.00833954463023134,99882960.372093,1404088
